;HT;Hmix;Hlocal;Hfeld;Hchave;Placa;codigo
2604;NA;11.17;11.17;13.07;12.93;11;1720 A1_054CUC_11
2605;NA;17.35;17.35;21.94;20.56;12.1;1720 A1_054CUC_12.1
2606;NA;15.98;15.98;19.26;18.21;12.2;1720 A1_054CUC_12.2
2607;NA;15.35;15.35;18.22;17.32;12.3;1720 A1_054CUC_12.3
2608;NA;15.31;15.31;18.17;17.27;12.4;1720 A1_054CUC_12.4
2609;NA;17.43;17.43;22.13;20.73;13;1720 A1_054CUC_13
2610;NA;16.43;16.43;20.08;18.92;14;1720 A1_054CUC_14
2611;NA;18.26;18.26;24.19;22.61;15;1720 A1_054CUC_15
2612;NA;17.72;17.72;22.82;21.35;16.1;1720 A1_054CUC_16.1
2613;NA;18.15;18.15;23.9;22.34;16.2;1720 A1_054CUC_16.2
2614;NA;17.63;17.63;22.59;21.14;17.1;1720 A1_054CUC_17.1
2615;NA;11.4;11.4;13.3;13.13;17.2;1720 A1_054CUC_17.2
2616;NA;18.68;18.68;25.41;23.76;18;1720 A1_054CUC_18
2617;NA;17.63;17.63;22.59;21.14;19;1720 A1_054CUC_19
2618;NA;18.29;18.29;24.27;22.75;1;1735 A2_1_1
2619;14;14;15.64;18.69;17.78;2;1735 A2_1_2
2620;14.5;14.5;17.41;22.08;20.75;3;1735 A2_1_3
2621;NA;15.81;15.81;18.98;18.02;4;1735 A2_1_4
2622;NA;17.32;17.32;21.89;20.58;5;1735 A2_1_5
2623;NA;15.78;15.78;18.92;17.97;6;1735 A2_1_6
2624;16;16;19.79;29.36;27.82;7;1735 A2_1_7
2625;NA;18.51;18.51;24.91;23.35;8;1735 A2_1_8
2626;11;11;16.91;21.01;19.8;9;1735 A2_1_9
2627;17.5;17.5;15.39;18.28;17.43;10;1735 A2_1_10
2628;NA;15.12;15.12;17.87;17.07;12;1735 A2_1_12
2629;NA;19.42;19.42;27.95;26.34;13;1735 A2_1_13
2630;NA;18.89;18.89;26.08;24.47;14;1735 A2_1_14
2631;NA;17.53;17.53;22.36;21;15;1735 A2_1_15
2632;NA;18.55;18.55;25.03;23.46;16;1735 A2_1_16
2633;NA;17.19;17.19;21.6;20.32;17.1;1735 A2_1_17.1
2634;NA;14.15;14.15;16.49;15.89;17.2;1735 A2_1_17.2
2635;NA;17.32;17.32;21.89;20.58;18;1735 A2_1_18
2636;NA;18.16;18.16;23.94;22.45;19;1735 A2_1_19
2637;NA;19.15;19.15;26.98;25.36;20;1735 A2_1_20
2638;NA;15.16;15.16;17.93;17.12;21;1735 A2_1_21
2639;NA;17.78;17.78;22.95;21.54;22;1735 A2_1_22
2640;NA;18;18;23.52;22.06;23;1735 A2_1_23
2641;15;15;19.51;28.29;26.69;24.1;1735 A2_1_24.1
2642;NA;18.41;18.41;24.64;23.09;25;1735 A2_1_25
2643;9;9;16.81;20.81;19.62;26;1735 A2_1_26
2644;NA;18.15;18.15;23.9;22.41;27;1735 A2_1_27
2645;NA;18.63;18.63;25.26;23.68;28;1735 A2_1_28
2646;NA;14.61;14.61;17.13;16.43;29;1735 A2_1_29
2647;14;14;16.41;20.02;18.93;30;1735 A2_1_30
2648;6.5;6.5;10.35;12.27;12.28;31;1735 A2_1_31
2649;NA;16.81;16.81;20.81;19.62;32;1735 A2_1_32
2650;NA;19.14;19.14;26.92;25.29;33;1735 A2_1_33
2651;9.5;9.5;15.24;18.05;17.12;1;1739 A1_1_1
2652;10.5;10.5;16.93;21.06;19.73;2;1739 A1_1_2
2653;NA;16.43;16.43;20.08;18.87;4;1739 A1_1_4
2654;13;13;18.04;23.61;22.01;5;1739 A1_1_5
2655;10;10;12.9;14.92;14.47;6;1739 A1_1_6
2656;NA;11.77;11.77;13.68;13.42;9.1;1739 A1_1_9.1
2657;NA;11.32;11.32;13.22;13.03;9.2;1739 A1_1_9.2
2658;NA;16.23;16.23;19.7;18.54;10;1739 A1_1_10
2659;NA;15.85;15.85;19.03;17.97;11;1739 A1_1_11
2660;13.5;13.5;16.38;19.97;18.78;12;1739 A1_1_12
2661;6;6;13.8;16.03;15.4;13;1739 A1_1_13
2662;NA;16.04;16.04;19.37;18.26;14;1739 A1_1_14
2663;12;12;11.62;13.53;13.29;15;1739 A1_1_15
2664;11.5;11.5;16.65;20.5;19.24;16;1739 A1_1_16
2665;NA;13.31;13.31;15.41;14.89;17;1739 A1_1_17
2666;NA;10.43;10.43;12.35;12.28;18;1739 A1_1_18
