;HT;Hmix;Hlocal;Hfeld;Hchave;Placa;codigo
76;NA;7.67;7.67;9.08;9.57;20;0217 A3_184SJQ_20
77;10.5;10.5;14.67;15.48;15.16;21;0217 A3_184SJQ_21
78;11;11;15.76;16.09;15.69;22;0217 A3_184SJQ_22
79;NA;11.7;11.7;13.61;13.55;23;0217 A3_184SJQ_23
80;NA;10.96;10.96;13.07;13.08;24;0217 A3_184SJQ_24
81;NA;11.38;11.38;13.38;13.35;25;0217 A3_184SJQ_25
82;NA;9.63;9.63;11.94;12.1;26.1;0217 A3_184SJQ_26.1
83;NA;8.89;8.89;11.18;11.44;26.2;0217 A3_184SJQ_26.2
84;8.5;8.5;7.9;9.74;10.17;27;0217 A3_184SJQ_27
85;NA;7.67;7.67;8.08;8.67;28;0217 A3_184SJQ_28
86;NA;16.37;16.37;16.42;15.97;29;0217 A3_184SJQ_29
87;NA;13.38;13.38;14.71;14.5;30;0217 A3_184SJQ_30
88;NA;11.59;11.59;13.53;13.48;31;0217 A3_184SJQ_31
89;11.5;11.5;15.15;15.76;15.4;32;0217 A3_184SJQ_32
90;NA;9.37;9.37;11.69;11.89;33;0217 A3_184SJQ_33
91;NA;10.76;10.76;12.91;12.95;34;0217 A3_184SJQ_34
92;8;8;10.66;12.83;12.88;35;0217 A3_184SJQ_35
93;NA;14.2;14.2;15.21;14.93;36;0217 A3_184SJQ_36
94;NA;10.18;10.18;12.43;12.53;37;0217 A3_184SJQ_37
95;11;11;14.91;15.62;15.28;38;0217 A3_184SJQ_38
96;NA;9.2;9.2;11.52;11.74;39;0217 A3_184SJQ_39
97;12.5;12.5;15.76;16.09;15.69;40;0217 A3_184SJQ_40
98;NA;9.37;9.37;11.69;11.89;41;0217 A3_184SJQ_41
99;11.5;11.5;12.13;13.91;13.81;42;0217 A3_184SJQ_42
100;10;10;9.72;12.02;12.18;43;0217 A3_184SJQ_43
101;NA;10.96;10.96;13.07;13.08;44;0217 A3_184SJQ_44
102;NA;12.92;12.92;14.42;14.25;45;0217 A3_184SJQ_45
103;10;10;9.46;11.77;11.96;46;0217 A3_184SJQ_46
104;NA;11.07;11.07;13.14;13.15;47.1;0217 A3_184SJQ_47.1
105;NA;9.99;9.99;12.27;12.39;47.2;0217 A3_184SJQ_47.2
106;NA;9.12;9.12;11.43;11.92;2;0354 A3_266LCU_2
107;NA;7.67;7.67;8.08;8.86;3;0354 A3_266LCU_3
108;NA;8.05;8.05;10.02;10.64;4;0354 A3_266LCU_4
109;9;9;8.97;11.26;11.77;5;0354 A3_266LCU_5
110;NA;7.67;7.67;9.08;9.78;6;0354 A3_266LCU_6
111;NA;11.38;11.38;13.38;13.64;7;0354 A3_266LCU_7
112;NA;9.72;9.72;12.02;12.44;8;0354 A3_266LCU_8
113;NA;7.65;7.65;8.98;9.69;9;0354 A3_266LCU_9
114;NA;9.81;9.81;12.1;12.52;10;0354 A3_266LCU_10
115;9.5;9.5;11.27;13.3;13.57;11;0354 A3_266LCU_11
116;NA;9.29;9.29;11.6;12.07;13;0354 A3_266LCU_13
117;NA;9.99;9.99;12.27;12.66;14;0354 A3_266LCU_14
118;9;9;10.76;12.91;13.23;15;0354 A3_266LCU_15
119;NA;9.81;9.81;12.1;12.52;16;0354 A3_266LCU_16
120;NA;8.4;8.4;10.56;11.14;17;0354 A3_266LCU_17
121;10;10;11.59;13.53;13.78;18;0354 A3_266LCU_18
122;NA;12.02;12.02;13.83;14.04;19;0354 A3_266LCU_19
123;NA;7.86;7.86;9.65;10.31;20;0354 A3_266LCU_20
124;NA;8.46;8.46;10.65;11.22;21;0354 A3_266LCU_21
125;NA;8.21;8.21;10.29;10.89;22;0354 A3_266LCU_22
126;NA;8.46;8.46;10.65;11.22;23;0354 A3_266LCU_23
127;NA;9.04;9.04;11.35;11.84;24;0354 A3_266LCU_24
128;NA;7.92;7.92;7.56;8.37;25;0354 A3_266LCU_25
129;9;9;8.4;10.56;11.14;26;0354 A3_266LCU_26
130;NA;8.33;8.33;10.47;11.06;27;0354 A3_266LCU_27
131;NA;7.95;7.95;9.84;10.48;28;0354 A3_266LCU_28
132;8;8;8.21;10.29;10.89;30;0354 A3_266LCU_30
133;NA;11.91;11.91;13.76;13.98;31;0354 A3_266LCU_31
134;NA;12.69;12.69;14.28;14.43;32;0354 A3_266LCU_32
135;NA;10.27;10.27;12.51;12.88;33;0354 A3_266LCU_33
136;NA;8.67;8.67;10.92;11.45;34;0354 A3_266LCU_34
137;NA;9.99;9.99;12.27;12.66;35;0354 A3_266LCU_35
138;9;9;9.46;11.77;12.22;36;0354 A3_266LCU_36
