;HT;Hmix;Hlocal;Hfeld;Hchave;Placa;codigo
3906;NA;4.03;4.03;8.19;8.59;52;0428 A2_105COL_52
3907;NA;4.53;4.53;8.88;9.22;53;0428 A2_105COL_53
3908;NA;5.8;5.8;10.56;10.69;54;0428 A2_105COL_54
3909;NA;4.68;4.68;9.08;9.39;55;0428 A2_105COL_55
3910;NA;5.38;5.38;10.02;10.22;56;0428 A2_105COL_56
3911;3.75;3.75;3.88;7.98;8.41;57;0428 A2_105COL_57
3912;NA;6;6;10.83;10.92;58;0428 A2_105COL_58
3913;NA;6.27;6.27;11.18;11.22;59;0428 A2_105COL_59
3914;NA;4.82;4.82;9.27;9.56;60;0428 A2_105COL_60
3915;NA;4.89;4.89;9.37;9.64;61;0428 A2_105COL_61
3916;NA;4.75;4.75;9.17;9.48;62;0428 A2_105COL_62
3917;NA;5.66;5.66;10.38;10.53;63;0428 A2_105COL_63
3918;5.25;5.25;6.81;11.86;11.8;64;0428 A2_105COL_64
3919;5;5;5.38;10.02;10.22;65;0428 A2_105COL_65
3920;NA;5.17;5.17;9.74;9.97;67;0428 A2_105COL_67
3921;NA;5.52;5.52;10.2;10.38;70;0428 A2_105COL_70
3922;NA;4.03;4.03;8.19;8.59;71;0428 A2_105COL_71
3923;NA;3.52;3.52;7.46;7.94;72;0428 A2_105COL_72
3924;NA;5.03;5.03;9.56;9.81;73;0428 A2_105COL_73
3925;NA;6.21;6.21;11.09;11.15;74;0428 A2_105COL_74
3926;NA;4.61;4.61;8.98;9.3;75;0428 A2_105COL_75
3927;NA;4.61;4.61;8.98;9.3;76;0428 A2_105COL_76
3928;5.25;5.25;5.31;9.93;10.14;77;0428 A2_105COL_77
3929;5;5;6;10.83;10.92;78;0428 A2_105COL_78
3930;3.1;3.1;3.45;7.35;7.92;27;0429 A2_108COL_27
3931;3;3;3.67;7.67;8.22;36;0429 A2_108COL_36
3932;3;3;3.45;7.35;7.92;47;0429 A2_108COL_47
3933;3;3;3.52;7.46;8.02;48;0429 A2_108COL_48
3934;3.1;3.1;3.88;7.98;8.5;51;0429 A2_108COL_51
3935;3.25;3.25;4.53;8.88;9.32;59;0429 A2_108COL_59
3936;NA;3.45;3.45;7.35;7.92;60;0429 A2_108COL_60
3937;2.7;2.7;3.88;7.98;8.5;62;0429 A2_108COL_62
3938;12;12;16.13;22.22;20.13;1;0500 C2_1_1
3939;NA;11.83;11.83;17.74;16.36;4;0500 C2_1_4
3940;NA;15.89;15.89;21.99;19.93;5;0500 C2_1_5
3941;NA;15.84;15.84;21.94;19.89;8;0500 C2_1_8
3942;NA;13.44;13.44;19.48;17.8;10;0500 C2_1_10
3943;NA;10.36;10.36;16.09;15;11;0500 C2_1_11
3944;NA;15.26;15.26;21.36;19.39;12;0500 C2_1_12
3945;NA;14.37;14.37;20.44;18.62;14;0500 C2_1_14
3946;NA;13.6;13.6;19.64;17.94;16;0500 C2_1_16
3947;NA;13.08;13.08;19.09;17.48;18;0500 C2_1_18
3948;NA;13.55;13.55;19.59;17.9;24;0500 C2_1_24
3949;10;10;13.7;19.75;18.03;26;0500 C2_1_26
3950;11;11;16.08;22.17;20.09;27;0500 C2_1_27
3951;NA;16.03;16.03;22.13;20.05;29;0500 C2_1_29
3952;NA;16.51;16.51;22.59;20.46;31;0500 C2_1_31
3953;NA;14.37;14.37;20.44;18.62;35;0500 C2_1_35
3954;NA;14.97;14.97;21.06;19.14;36;0500 C2_1_36
3955;NA;12.54;12.54;18.52;17;37;0500 C2_1_37
3956;NA;14.47;14.47;20.55;18.7;40;0500 C2_1_40
3957;NA;8.61;8.61;14.06;13.32;42;0500 C2_1_42
3958;11.5;11.5;14.67;20.75;18.88;45;0500 C2_1_45
3959;10.5;10.5;11.83;17.74;16.36;53;0500 C2_1_53
3960;NA;12.6;12.6;18.58;17.05;54;0500 C2_1_54
3961;NA;14.47;14.47;20.55;18.7;55;0500 C2_1_55
3962;10.25;10.25;11.94;17.87;16.46;57;0500 C2_1_57
3963;13.5;13.5;13.55;19.59;17.9;60;0500 C2_1_60
3964;NA;14.97;14.97;21.06;19.14;62;0500 C2_1_62
3965;NA;15.84;15.84;21.94;19.89;64;0500 C2_1_64
3966;NA;15.26;15.26;21.36;19.39;66;0500 C2_1_66
3967;NA;11.67;11.67;17.56;16.21;84;0500 C2_1_84
3968;NA;14.87;14.87;20.96;19.05;86;0500 C2_1_86
3969;11;11;13.44;19.48;17.8;88;0500 C2_1_88
3970;11.5;11.5;14.42;20.5;18.66;91;0500 C2_1_91
3971;10.5;10.5;12.7;18.69;17.15;92;0500 C2_1_92
3972;NA;14.57;14.57;20.65;18.79;94;0500 C2_1_94
3973;NA;4.75;4.75;9.17;9.21;1;0500 D2_053IAL_1
3974;4.5;4.5;6.21;11.09;10.84;2;0500 D2_053IAL_2
3975;4.25;4.25;5.1;9.65;9.62;3;0500 D2_053IAL_3
3976;NA;4.25;4.25;8.49;8.62;4;0500 D2_053IAL_4
3977;NA;3.74;3.74;7.77;7.99;6;0500 D2_053IAL_6
3978;NA;6.21;6.21;11.09;10.84;8;0500 D2_053IAL_8
3979;NA;3.96;3.96;8.08;8.27;9;0500 D2_053IAL_9
3980;NA;5.52;5.52;10.2;10.09;10;0500 D2_053IAL_10
3981;NA;4.39;4.39;8.69;8.79;11;0500 D2_053IAL_11
3982;NA;4.03;4.03;8.19;8.36;13;0500 D2_053IAL_13
3983;NA;3.67;3.67;7.67;7.9;14;0500 D2_053IAL_14
3984;NA;3.67;3.67;7.67;7.9;15;0500 D2_053IAL_15
3985;NA;6.14;6.14;11;10.76;16;0500 D2_053IAL_16
3986;NA;6.21;6.21;11.09;10.84;17;0500 D2_053IAL_17
3987;NA;4.32;4.32;8.59;8.71;18;0500 D2_053IAL_18
3988;3.5;3.5;3.59;7.56;7.81;19;0500 D2_053IAL_19
3989;4.25;4.25;5.31;9.93;9.86;20;0500 D2_053IAL_20
3990;NA;4.32;4.32;8.59;8.71;21;0500 D2_053IAL_21
3991;4.5;4.5;4.61;8.98;9.05;22;0500 D2_053IAL_22
3992;5;5;4.89;9.37;9.38;23;0500 D2_053IAL_23
3993;4.25;4.25;5.31;9.93;9.86;24;0500 D2_053IAL_24
3994;NA;5.24;5.24;9.84;9.78;25;0500 D2_053IAL_25
3995;NA;4.68;4.68;9.08;9.13;26;0500 D2_053IAL_26
3996;NA;4.18;4.18;8.39;8.53;27;0500 D2_053IAL_27
3997;NA;4.96;4.96;9.46;9.46;28;0500 D2_053IAL_28
3998;NA;4.89;4.89;9.37;9.38;30;0500 D2_053IAL_30
3999;NA;4.82;4.82;9.27;9.29;31;0500 D2_053IAL_31
4000;NA;5.31;5.31;9.93;9.86;32;0500 D2_053IAL_32
4001;NA;4.18;4.18;8.39;8.53;33;0500 D2_053IAL_33
4002;NA;5.73;5.73;10.47;10.32;34;0500 D2_053IAL_34
4003;4.25;4.25;5.17;9.74;9.7;35;0500 D2_053IAL_35
4004;NA;4.75;4.75;9.17;9.21;36.1;0500 D2_053IAL_36.1
4005;NA;4.53;4.53;8.88;8.96;36.2;0500 D2_053IAL_36.2
4006;NA;3.81;3.81;7.88;8.09;37;0500 D2_053IAL_37
4007;NA;4.53;4.53;8.88;8.96;38;0500 D2_053IAL_38
4008;NA;5.1;5.1;9.65;9.62;39;0500 D2_053IAL_39
4009;4;4;4.53;8.88;8.96;40;0500 D2_053IAL_40
4010;3.5;3.5;3.81;7.88;8.09;41;0500 D2_053IAL_41
4011;NA;4.46;4.46;8.79;8.88;42;0500 D2_053IAL_42
4012;NA;5.31;5.31;9.93;9.86;43;0500 D2_053IAL_43
4013;NA;6.48;6.48;11.43;11.12;44;0500 D2_053IAL_44
4014;3.5;3.5;4.18;8.39;8.53;45;0500 D2_053IAL_45
4015;3.5;3.5;3.45;7.35;7.62;46;0500 D2_053IAL_46
